분류,항목,인증기준,주요 확인사항,관련 법규,세부 설명,미흡사례,Pentera
정책·조직·자산 관리,정책의 유지관리,"정보보호 및 개인정보보호 정책·시행문서를 법령, 조직 및 환경 변화에 따라 주기적으로 검토 및 개정하고 이력을 관리해야 한다.","정책 및 시행문서의 정기 검토 수행 여부, 환경 변화 반영 여부, 이해관계자 검토 및 개정 이력 관리 여부","개인정보 보호법 제29조 (안전조치의무)

개인정보의 안전성 확보조치 기준 제4조 (내부 관리계획의 수립·시행 및 점검)","정책 및 시행문서에 대해 연 1회 이상 정기 검토를 수행하며,
 법령, 조직, IT 환경 변화 발생 시 영향을 분석하여 
필요 시 제개정하고 변경 이력을 관리한다.","정책 개정 이력 미관리, 법령 변경 사항 미반영, 이해관계자 검토 누락",
,조직의 유지관리,"정보보호 및 개인정보보호 관련 역할과 책임을 조직에 할당하고, 
이를 평가·의사소통할 수 있는 체계를 수립·운영해야 한다.","책임자 및 담당자 지정 여부, 역할 및 책임 문서화 여부, 
성과 평가 및 의사소통 체계 운영 여부","개인정보 보호법 제29조(안전조치의무), 제31조(개인정보 보호책임자의 지정)

정보통신망법 제45조의3(정보보호 최고책임자의 지정 등)

개인정보의 안전성 확보조치 기준 제4조(내부 관리계획의 수립·시행 및 점검)","정보보호 및 개인정보보호 책임자와 담당자의 역할을 정의하고, 
직무기술서, 조직도를 통해 명확히 하며 정기적인 평가 및 의사소통 체계를 운영한다.","역할·책임 미정의, 담당자 지정만 되어 있고 실제 운영되지 않음",
,정보자산 관리,"정보자산의 중요도에 따라 취급 절차와 보호대책을 
수립 및 이행하고 자산별 책임자를 지정하여 관리해야 한다.","정보자산 식별 및 목록화 여부, 보안등급 분류 여부, 
책임자·관리자 지정 여부","개인정보 보호법 제29조

개인정보의 안전성 확보조치 기준 제3조, 제4조

ISMS-P 관리체계 요구사항(자산 식별·보호)","정보자산을 식별하여 자산 목록으로 관리하고, 
중요도에 따라 보안등급을 부여하며 자산별 책임자 및 관리자를 
지정하여 보호대책을 적용한다.","자산 목록 미최신화, 보안등급 미부여, 책임자 미지정",
인전 보안,주요 직무자 지정 및 관리,"개인정보 및 중요정보 취급, 주요 시스템 접근 등 주요 직무의 기준을 수립하고 주요 직무자를 최소한으로 지정하여 목록을 최신으로 관리해야 한다.","주요 직무 기준 정의 여부, 주요 직무자·개인정보취급자 지정 및 목록 관리 여부, 최소 지정 원칙 적용 여부","개인정보 보호법 제28조
 
제29조 개인정보의 안전성 확보조치 기준 제4조","개인정보 및 중요정보 취급, 주요 시스템 운영 등 주요 직무를 정의하고 해당 직무 수행자를 최소한으로 지정하여 목록으로 관리하며 정기적으로 적정성을 검토한다.","	퇴사자 포함된 직무자 목록 미정비, 불필요한 인력까지 개인정보취급자로 지정",
,직무 분리,"권한 오·남용 방지를 위해 직무 분리 기준을 수립·적용하고, 불가피한 경우 보완대책을 마련해야 한다.","직무 분리 기준 수립 여부, 개발·운영·감사 등 직무 분리 적용 여부, 예외 시 보완통제 적용 여부","개인정보 보호법 제29조 

개인정보의 안전성 확보조치 기준 제4조","개발·운영·감사, 개인정보 처리 및 모니터링 등의 직무를 분리하여 운영하고, 
인력 부족 등으로 분리가 어려운 경우 상호 검토·로그 점검 등 보완통제를 적용한다.","동일 인력이 개발과 운영을 동시에 수행, 직무 분리 예외에 대한 보완통제 미적용",
,보안 서약,임직원 및 외부자가 정보자산 접근 시 책임과 의무를 인지할 수 있도록 보안 및 개인정보보호 서약을 받아야 한다.,"입사·계약 시 서약서 징구 여부, 외부 인력 서약 적용 여부, 퇴직 시 비밀유지 서약 여부","개인정보 보호법 제29조 

개인정보의 안전성 확보조치 기준 제4조","임직원 및 외부 인력에 대해 보안 및 개인정보보호 책임과 
비밀유지 의무가 포함된 서약서를 작성·보관하고 
퇴직 시 별도의 비밀유지 서약을 받는다.","외주 인력 서약 미징구, 서약서 보관·관리 미흡",
,인식제고 및 교육훈련,임직원 및 외부자의 정보보호 및 개인정보보호 인식을 높이기 위해 교육을 계획·수행하고 효과성을 평가해야 한다.,"연간 교육 계획 수립 여부, 전 임직원 교육 수행 여부, 교육 결과 및 효과 평가 여부","개인정보 보호법 제26조, 제28조, 제29조 

개인정보의 안전성 확보조치 기준 제4조","연 1회 이상 정보보호 및 개인정보보호 교육을 수행하고 
교육 결과를 기록·평가하여 다음 교육 계획에 반영한다.","교육 계획만 수립하고 미실시, 교육 기록 및 평가 자료 없음",
,퇴직 및 직무변경 관리,"퇴직 및 직무변경 시 자산 반납, 계정 회수 및 조정 등 
접근권한을 즉시 관리해야 한다.","퇴직, 직무변경 시 계정 회수 여부, 
자산 반납 여부, 관련 부서 간 공유 여부","개인정보 보호법 제29조 

개인정보의 안전성 확보조치 기준 제5조","퇴직·직무변경 발생 시 지체 없이 계정을 삭제 및 조정하고 
자산 반납 및 절차 이행 여부를 기록·관리한다.","퇴사자 계정 미삭제, 일부 시스템 접근권한 미회수",
,보안 위반 시 조치,"법령,내부 규정 위반 시 이를 처리하기 위한 절차를 수립하고 위반 사항에 따라 조치를 수행해야 한다.","위반 처리 절차 수립 여부, 위반 발생 시 조치 및 기록 여부","개인정보 보호법 제28조, 제29조 

개인정보의 안전성 확보조치 기준 제4조","정보보호 및 개인정보보호 위반 발생 시 내부 규정에 따라 조사, 
징계, 재발 방지 조치를 수행하고 결과를 기록한다.","위반 기준·절차 미정의, 위반 사실 인지 후 조치 미수행",
외부자 보안,보안 위반 시 조치,"외부 위탁 및 외부 시설 및 서비스 이용 현황을 식별하고,
 법적 요구사항과 위험을 파악하여 적절한 보호대책을 수립·이행해야 한다.","외부 위탁 및 외부 서비스 이용 현황 식별 여부, 법적 요구사항 및 위험 분석 여부","개인정보 보호법 제26조 

정보통신망법 제50조의3","개인정보 처리, 정보시스템 운영·개발 등을 외부에 위탁하거나 
외부 시설 및 서비스를 이용하는 경우 해당 현황을 목록으로 관리하고, 
법령 요구사항과 위험을 분석하여 보호대책을 마련한다.","외부 위탁 현황 미관리, 클라우드 전환 후 위험평가 미수행",
,외부자 계약 시 보안,"외부자와 계약 체결 시 정보보호 및 개인정보보호 요구사항을 식별하고
 이를 계약서 또는 협정서에 명시해야 한다.","계약서에 보안 요구사항 명시 여부, 위탁 범위 및 책임 정의 여부",개인정보 보호법 제26조,"외부 서비스 이용 또는 업무 위탁 시 개인정보 보호, 접근통제, 재위탁 제한, 
사고 통지 및 책임 사항 등을 계약서에 명시하여 외부자의 보안 책임을 명확히 한다.","계약서에 개인정보 보호 조항 누락, 재위탁 제한 미명시",
,외부자 보안 이행 관리,"계약 및 내부 정책에 명시된 정보보호 및 개인정보보호 요구사항에 
대해 외부자의 이행 여부를 주기적으로 점검 및 감독해야 한다.","외부자 보안점검·감사 수행 여부, 개선조치 이행 여부","개인정보 보호법 제26조 

정보통신망법 제50조의3","외부자에 대해 계약 이행 기간 중 보안점검 또는 감사를 수행하고, 
위반 사항 발생 시 개선조치를 요구하며 재위탁 시 사전 승인 여부를 관리한다.","외부자 보안점검 미실시, 재위탁 승인 없이 업무 수행",
,외부자 계약 변경 및 종료 시 보안,"외부자 계약 변경 또는 종료 시 정보자산 반납, 접근권한 회수, 개인정보 및 중요정보의 회수·파기를 수행해야 한다.","계약 종료 시 계정 및 접근권한 회수 여부,
정보자산 반납 및 파기 여부","개인정보 보호법 제26조 

정보통신망법 제50조의3","외부자 계약 종료 또는 담당자 변경 시 계정 삭제, 접근권한 회수, 
개인정보 및 중요정보의 안전한 회수·파기 여부를 확인하고 증적을 관리한다.","계약 종료 후 외부자 계정 미삭제, 개인정보 파기 확인 미수행",
